Timestamp,Lane1_Count,Lane2_Count,Ambulance_Detected,Green_Time_L1,Green_Time_L2
22:13:50,13,15,False,31,35
22:13:50,13,15,False,31,35
22:13:50,14,15,False,33,35
22:13:50,12,14,False,29,33
22:13:50,13,14,False,31,33
22:13:50,13,13,False,31,31
22:13:55,13,14,False,31,33
22:13:55,12,15,False,29,35
22:13:55,11,14,False,27,33
22:13:55,11,16,False,27,37
22:13:55,10,14,False,25,33
22:13:55,12,14,False,29,33
22:13:55,12,14,False,29,33
22:14:00,13,16,False,31,37
22:14:00,13,16,False,31,37
22:14:00,13,15,False,31,35
22:14:00,15,17,False,35,39
22:14:00,12,16,False,29,37
22:14:00,11,17,False,27,39
22:14:00,10,17,False,25,39
