Timestamp,Lane1_Count,Lane2_Count,Ambulance_Detected,Green_Time_L1,Green_Time_L2
22:12:40,15,20,False,35,45
22:12:40,14,19,False,33,43
22:12:40,14,18,False,33,41
22:12:40,14,19,False,33,43
22:12:40,12,18,False,29,41
22:12:45,12,13,False,29,31
22:12:45,15,14,False,35,33
22:12:45,15,14,False,35,33
22:12:45,16,14,False,37,33
22:12:45,16,15,False,37,35
22:12:45,18,15,False,41,35
22:12:45,14,16,False,33,37
22:12:50,11,14,False,27,33
22:12:50,11,15,False,27,35
22:12:50,10,15,False,25,35
22:12:50,13,15,False,31,35
22:12:50,13,16,False,31,37
22:12:50,14,15,False,33,35
22:12:50,14,16,False,33,37
22:12:55,11,17,False,27,39
22:12:55,10,16,False,25,37
22:12:55,11,16,False,27,37
22:12:55,12,15,False,29,35
22:12:55,12,15,False,29,35
